,text,Sentiment,SA,day,month
117,This is how we keep ourselves entertained. #sister #laptop #me #xbox #hurricanesandy @ Grand Ave http://t.co/rqjbF0o2,1,1.0,2.0,11
122,Refugee dinner w/ our fabulous  hosts #sandystillsucks w/ @dgouger (@ Isabella's) http://t.co/e1roUtYt,1,1.0,1.0,11
126,"Me + @caityster = innovators of the year. Well, at least the hurricane. #MixologyWin  @ The Mark Hotel http://t.co/sWIumYIC",1,-1.0,1.0,11
132,@AnthonyCacioppo it seems you are weathering the hurricane well.,1,0.0,29.0,10
142,We're all set for Sandy! @ Home Sweet Home http://t.co/a8IlIgNh,1,1.0,28.0,10
144,@SimplyAJ10 I'm sitting in pickles pub just waiting for these storms pass to see some #oriolesmagic,1,0.0,8.0,9
145,"""@HuffPostMedia: One person New Yorkers will miss when #Sandy is over: Bloomberg's superstar sign language translator."": love her!",1,1.0,30.0,10
148,Safe wishes for everyone! _���_��_���_�լ #HurricaneSandy,1,1.0,29.0,10
151,Only waited 15 minutes for gas in Clifton. #sandy #newnormal #thankful,1,0.0,5.0,11
154,Heading to Rockaways - these guys are SUPER organized. So impressed #Sandy (@ Congregation Beth Elohim��_ w/ 2 others) http://t.co/HP2YU49d,1,1.0,5.0,11
164,Team #megamedia &amp; @MMEMGR made it to #virginia. #hurricanesandy has nothin on this #roadtrip #team! #nycbound #knicks http://t.co/M3QDZDtC,1,0.0,29.0,10
172,Wind finally died down enough to crack a window in here. Enjoying the fresh air. Still locked on to @WNYC radio coverage. #Sandy,1,1.0,30.0,10
175,A little bit of rain isn't holding me back from breakfast at Ihop #hurricane#sandy,1,-1.0,29.0,10
176,"Here we go! 12.12.12 Concert for Sandy Relief. I need a strong dose of Bruce tonight. We take care of our own, indeed. #JerseyStrong",1,1.0,13.0,12
177,no winds no rain wooo this is one he'll of a storm,1,0.0,29.0,10
179,@ladygaga I hope u help out your home town #hurricanesandy #nyc,1,0.0,6.0,11
181,Reasons why I love America... Just went to the grocery store... Only things that are sold out- water &amp; beer. #priorities #hurricaneparties,1,1.0,29.0,10
182,So about these hurricane festivities ...,1,0.0,29.0,10
183,RT @BHPhotoVideo We wish our friends @adorama and the rest of Downtown Manhattan a speedy &amp; safe recovery f/ the effects of Hurricane Sandy.,1,1.0,31.0,10
184,First casualty of Hurricane #Sandy: low-carb dieting! (@ Food Emporium w/ 3 others) [pic]: http://t.co/rVQBlSqN,1,1.0,28.0,10
188,Me and @RealCptKirk are getting drunk tho #sandywho #fuckittho,1,-1.0,30.0,10
191,Oh and stay safe new jerseyians in the storm today_�ե #JerseyStrong,1,1.0,7.0,11
195,"Here I am, poopin like a hurricane",1,0.0,9.0,10
196,What was the rush to end the #Sandy benefit show?  More music = more donations!  Awesome 1 hr of tv.  #Grimm ???,1,1.0,3.0,11
199,Back to the best city in the world first time post sandy...  &lt;\3 ( holler @ me!) http://t.co/eDKdt9om,1,1.0,10.0,11
200,"""@APS_AJ: If your a ""Side Chick"" I bet your hating @AHurricaneSandy right now!"" rt..they all on f/b quoting bible scriptures!! Lls..#sandy",1,1.0,29.0,10
201,Still cold #beer #nopower #sandy #fuckyousandy @ home http://t.co/tbQbiquU,1,-1.0,5.0,11
207,"@mz_anGELik What's it down there???  We have this Hurricane guna hit up here soon, that prob y it's warmer here",1,-1.0,28.0,10
213,Sandy is dope classes already cancelled for Monday and Tuesday #prettysweet,1,0.0,28.0,10
216,Nice n cozy on Titi Linda's Big Bed _���_��__��� #bestcousins_��� #safefromsandy���_��_ #cuddlez #co @ Nostrand Gardens CO-OP http://t.co/QMn14vFK,1,1.0,30.0,10
217,"Is it just me, or does anyone else want to start singing ""Stranded at a drive-in, branded a fool"" every time a reporter mentions #Sandy?",1,0.0,29.0,10
224,The only plans I have for the next two days at home are laying in my bed and watching rom coms and I don't hate it one bit #HurricaneSandy,1,-1.0,29.0,10
225,Have safe  night and beecareful with sandy,1,1.0,28.0,10
234,Bout to play manhunt on da westside.!! Lol #sandycantholdmebk,1,1.0,1.0,11
237,Wish I had two women trapped in this hurricane with me... Can't think of anything else id rather be doin right now than #gettindirty,1,1.0,29.0,10
238,Just donated- I know everyone i know has 10 bucks do it #SandyHelp,1,0.0,3.0,11
239,"���@KevinHart4real: My prayers go out to all of the families on the east coast that were affected by Hurricane ""Sandy""�۝",1,0.0,30.0,10
249,@DeionSanders prime time an inspiration to all #brilliant give us people in jersey some words of wisdom when dealing with hurricane sandy,1,1.0,6.0,11
257,"@teresa_casero halloween here in NJ/NY will be good. Also, #Sandy gave a scary atmosphere so...",1,1.0,30.0,10
259,"The boys have gathered an impressive amount of toys, books and clothes to donate to kids that lost theirs. #ilovemyboys #Sandy #recovery",1,1.0,3.0,11
261,Cheers Sandy _ٍ�,1,0.0,29.0,10
262,"When In Doubt,Throw it out! #Sandy",1,0.0,1.0,11
265,My house is open folks  have pool table. Ping pong. Dart board card table roulette table Craps table and a generator COME GET ME SANDY,1,0.0,26.0,10
266,Sandy has officially left the building. Na na na na. Na na na na. Hey. Hey. Hey. GOODBYE! #FUCKOUTTAHERE,1,0.0,30.0,10
270,Beer Blackout IV #sandy ��� Drinking an Old Heathen Imperial Stout by @weyerbacher @ Gryffinpour  ��� http://t.co/w2Vc2e87,1,1.0,1.0,11
273,Rawk me like a hurricane. Durp...,1,0.0,28.0,10
276,It's 5 o'clock somewhere and that somewhere is here... Monday Funday #hurricaneParty,1,0.0,29.0,10
279,"���@NHLFlyers: The Flyers hope our fans and everyone affected remain safe as we wait out Hurricane Sandy.�۝ Thx, hope hockey is back soon!!",1,1.0,29.0,10
280,"#sandy clean-up  We were lucky  @ Tuckerton, NJ http://t.co/SdvuByut",1,1.0,30.0,10
282,"All out of milk, water &amp; chicken at the Stop &amp; Shop. But thank goodness I was able to stock up on sweet potatoes &amp; lettuce before the storm.",1,1.0,6.0,11
283,So far no big deal woke me up but not a big deal just stay this way #sandy,1,1.0,29.0,10
294,My neighbors are blowing leaved off their lawns There is a hurricane coming they are either going to end up back on your lawn or a tree will,1,0.0,28.0,10
295,Can't wait for sandy to come to dyckman for we could run a train on Dat ass,1,0.0,30.0,10
298,@rissgiammarino I miss you tooo! How's your house and everything flyer the storm?,1,0.0,2.0,11
301,Frankenstorm: day 3. Sangria. @ Upper West Side Abode http://t.co/IiJaE1M7,1,0.0,30.0,10
303,#skull #ice #awesome #sandy #hurricane #snowday #tweegram #timburton #billmurray #moviemara @ Camp Northstar http://t.co/y2a9FKyz,1,1.0,29.0,10
305,The only time I visit http://t.co/gBs5Vc61 is when I'm going to the beach or a deadly hurricane is headed my way.,1,-1.0,27.0,10
318,GREAT DAY TO CHANGE UP YOUR SEASONAL LOOK_��� Wet suits and surf boards this weekend LET'S PARTY SANDY,1,1.0,27.0,10
321,���@daracooks: @stevemhii I'm following you back.  Love #ProStart great program.  Stay well and dry during #Frankenstorm�۝ thanks &amp;u stay safe2,1,1.0,29.0,10
323,#sandy is blowin down my windows and making her way to my heart,1,-1.0,29.0,10
327,Woke up early. Heading out to survey damage. Crazy storm. Hope everyone is ok out there! #Sandy #superstorm,1,0.0,30.0,10
332,@kbeninato @marilynm Nooo! My wife makes the best meatloaf. I do agree about the performer. Lol. #HurricaneSandy,1,1.0,28.0,10
333,wow @AHurricaneSandy - u are kind of hilarious #Frankenstorm,1,1.0,29.0,10
335,"I say a pressure drop, oh pressure - oh yeah, pressure drop-a-drop on you. #Sandyinphilly",1,0.0,29.0,10
339,@CapitolRomance safe travels to u too!! I hope Sandy didnt ruin anything for u! Hopefully this cabin we're going to is still in one piece!,1,1.0,2.0,11
340,"Hurricane, shmurricane! Gray's Papaya- OPEN! #hurricane #sandy #frankenstorm #uws #nyc @ Gray's Papaya http://t.co/uHCseql3",1,0.0,29.0,10
349,Oops. This is the place for the delicious Heavy Sea's Winter Storm (@ Red Star Tavern Newport News) http://t.co/0DWg1UNd,1,1.0,27.0,11
350,Ok I fell for the stock exchange flood thing. #tweetedfakenews #iadmitit #sandy,1,1.0,30.0,10
351,Going out into the storm like a champ. Gotta go check on my fam,1,0.0,30.0,10
352,can't go to sleep to excited I have my social media back!!! #crazygirlprobs #woohoo #happyhalloweenie  #Sandy #lovemylife,1,1.0,31.0,10
360,#jerseystrong #restoretheshore jersey will come back stronger then before&lt;3 fuck you sandy.,1,-1.0,5.0,11
365,The Castaneda emergency kit! Now to relax and enjoy some fam time while Sandy decides to show ���_��� @ My Casa _��_ http://t.co/9jBaAw6C,1,1.0,28.0,10
366,At least Kevin and I are rained in together... #sandy #LetsStartDrinking,1,-1.0,29.0,10
367,Hurricane preparation: almost as important as football. (@ Half Court Sports Bar) http://t.co/TnOc5wNa,1,1.0,28.0,10
370,K got foood flashlights batteries my kids im ready for the storm�������_��_�,1,1.0,28.0,10
379,"Make sure to step outside today, New Yorkers. After Sandy and the nor'easter, I think we earned this beautiful, beautiful fall day.",1,1.0,11.0,11
380,It's pretty cool how this year there is a hurricane on my sisters birthday and last year we had the snow storm. #legitbirthday,1,1.0,29.0,10
384,"""If we get bored during the storm we could always doodle in this one direction notepad I have"" - @jvissat",1,-1.0,29.0,10
387,Still drinkin hurricane waitin on this hurricane,1,0.0,29.0,10
389,@hooria_xoxo lol that picture would be funny if it was actually Hurricane Sandy but its a picture of Katrina... AWK.,1,1.0,29.0,10
391,���@AHurricaneSandy: HEY I JUST MET YOU AND THIS IS CRAZY BUT I'M COMING TO NEW YORK CAN I BLOW YOU MAYBE.�۝,1,-1.0,28.0,10
392,Not busy and happy about it #ambulance #ems #hurricanesandy #iphoneonly  @ VMSC Of Lower Merion http://t.co/pGMQ9ASK,1,1.0,29.0,10
396,���@SandysHurricane: LOL JUST THREW A SUV INTO A FIELD CUZ THE BITCH HAD A ROMNEY 2012 BUMBER STICKER.�۝ Hahah classic,1,1.0,29.0,10
408,Paying homage and praying for those who lost everything in the storm. New apartme @ Streets Of Staten Island http://t.co/aE04ugPY,1,1.0,13.0,11
411,Solar-powered public charging stations. #sandy #clever @ Flatiron Building http://t.co/QcHvHx51,1,1.0,2.0,11
413,#Frankenstorm party with @carrielevande ! (@ 340 East 52nd) http://t.co/ABo350Qh,1,0.0,28.0,10
420,This could probably be considered murdered in some states #thankssandy #fullweekoff http://t.co/slnMoaL0,1,0.0,31.0,10
429,Hoping that a hurricane comes and hit the school so i can sleep all day,1,0.0,8.0,10
432,���@57UN: Lovely picture of as Dog being rescued from hurricane #Sandy! Firemen are not only saving the people! http://t.co/CvqqpSoC�۝,1,1.0,30.0,10
440,"@Jailynn_xo , anytime :) btw good morning :) are you okay from this damn storm ?",1,1.0,29.0,10
442,Afternoon skate before hurricane sandy hits the city #skate #skatepark #skateboarding #ha @ Park View Towers http://t.co/ON480kAC,1,0.0,28.0,10
446,Oh hey sun! Nice seeing you! #aftermath #hurrican #sandy  @ Voorhees Town Center http://t.co/lfy6K8be,1,1.0,31.0,10
447,#4ThingsiNeedForAHURRICANE  A shower A tanning bed My friends &amp; Vodka,1,0.0,1.0,11
450,Domino's &amp; Walking Dead with @BaylaKressi #thankssandy,1,-1.0,30.0,10
465,Food &amp; Adult Sodas for the end of a long week! #PostSandy (@ Paddy's On The Bay) http://t.co/hgu1PbIv,1,1.0,10.0,11
