,text,Sentiment,SA,day,month
67,Lower East Side was flipped over. #Sandy Tuesday 10/30/12 4:00PM @ Lower East Side http://t.co/XwR7VFVW,0,0.0,5.0,11
68,Riding out Frankenstorm at my parents. (@ Chamorro Grille) http://t.co/iRruRjWo,0,0.0,29.0,10
72,skinner is on top of my shit-list #apbio #uhwhat #therewasahurricane,0,1.0,1.0,11
73,Five darkest nights #downtown #manhattan #blackout #sandy  @ Brooklyn Bridge http://t.co/7Tq31iHD,0,0.0,3.0,11
74,Chelsea apartment's facade blown off by Sandy  #sandy #aftermath @ Chelsea http://t.co/FMDwXY3u,0,0.0,3.0,11
77,#sandy #lightsout #nyc #candle #newsstand  @ Union Square Park http://t.co/OJZtKzZ4,0,0.0,1.0,11
85,"���@WSJ: Gov. Christie: New Jersey residents will ""be taking the brunt of"" Hurricane #Sandy. http://t.co/aIwv8hqq�۝ safety to all my NJ peeps!",0,1.0,29.0,10
90,The storms r comin'.....,0,0.0,27.0,7
93,A storms-a-comin'!!!! #storm #nj #darksky #nyc #rain #weather   @ NJ Turnpike Northern Division http://t.co/ub9cpEOF,0,0.0,20.0,9
94,Cafe lines slightly longer than usual #manhattan #sandy http://t.co/JKb7Ld0N,0,-1.0,30.0,10
95,#sandy where do all the rats go?,0,0.0,30.0,10
99,Mama made me. #hurricanesandy @ Greenpoint http://t.co/wXgjtYcH,0,0.0,29.0,10
106,"I'm at Frankenstormpocalypse 2012 (Washington, DC) w/ 665 others http://t.co/NUgWpHju",0,0.0,29.0,10
107,3 weeks after the storm and there are still coffins hanging out of the ground! _���_���_��� http://t.co/PviDDNRr,0,0.0,14.0,11
108,#StormPrep @ Westminster Arms Luxury Apartment Homes http://t.co/r2BXeq84,0,0.0,29.0,10
110,���@_DatsWhyYouMad: Damn Sandy have New York flooded�۝ -- word,0,1.0,30.0,10
111,@__jaysocutee you should of got some before the storm came smh,0,0.0,29.0,10
114,Oh hey random storm ��Ӊ��_��_�_�  @ Camp Pocono Trails http://t.co/oQT9gKOV,0,-1.0,26.0,7
116,Ocean City MD Tue Jul 31st AM Forecast: TODAY Chance Of T-Storm Hi 85 TONIGHT Chance Of T-Storm Lo 71,0,0.0,31.0,7
118,Time to prep the house for sandy! #Frankenstorm,0,0.0,27.0,10
121,@PlayBoiMafia o ok I'm off #sandy,0,1.0,30.0,10
123,620am and it's dry &amp; still outside?? #hype #sandy #fb,0,-1.0,29.0,10
124,@sandyboxx @trafiuddin #firstworldproblems,0,0.0,20.0,11
125,Lionshead Lake NJ Sat Aug 11th PM Forecast: TONIGHT Chance Of T-Storm Lo 69 SUNDAY Chance Of T-Storm Hi 89,0,0.0,11.0,8
128,"I'm at Stormy Friday (Alexandria, VA) http://t.co/E7zC4nrM",0,0.0,28.0,10
129,"I'm at Frankenstorm Apocalypse - Hurricane Sandy (New York, NY) w/ 2792 others http://t.co/2KVpHTIg",0,1.0,29.0,10
130,Bear Creek Township PA Fri Aug 10th PM Forecast: TONIGHT Chance Of T-Storm Lo 65 SATURDAY Chance Of Showers Hi 81,0,0.0,10.0,8
134,"#cpstorm RT @camdencountynj ""CamCo has some reported power outages and Creek Road is closed due to localized flooding. #SandyNJ""",0,-1.0,29.0,10
135,#Cablevision  because of #Sandy you should really bring back @wpix . The public needs to be informed. Their weather forecast is spot on. RT,0,1.0,26.0,10
136,Aspen Hill MD Mon Aug 20th PM Forecast: TONIGHT Showers And T-Storms Lo 61 TUESDAY Chance Of T-Storm Hi 85,0,0.0,20.0,8
138,"I don't think me, @katieli and @MarcSebastian could have watched any more '90s RomComs this hurricane. #Sandy",0,1.0,30.0,10
139,SandyHook Security Policy | Newtown School Shooting | http://t.co/HBMTTltC Connecticut: http://t.co/b7DoDaDW,0,0.0,14.0,12
140,#hurricanesandy  @ The Wreck Of The Binghamton http://t.co/j6Br2yPg,0,0.0,29.0,10
141,Totally normal. Hurricane sandy http://t.co/hEedjs0W,0,1.0,26.0,10
143,#surface come down to Walt Whitman Mall today to purchase your #surface before the storm comes #Surface http://t.co/olwQ3kgg,0,-1.0,28.0,10
146,Severe Thunderstorm Warning issued July 18 at 2:56PM EDT until July 18 at 4:00PM EDT by NWS http://t.co/afX7qRCx,0,0.0,18.0,7
147,Severe Thunderstorm Warning issued July 07 at 4:29PM EDT until July 07 at 4:45PM EDT by NWS http://t.co/p9DezAWs,0,0.0,7.0,7
149,No cars on Broadway at 10:30 at night. #nevereseenthatbefore #sandy #battendown @ 300 Mercer Street New York http://t.co/VIAHqsav,0,1.0,29.0,10
150,@weatherkim and @tomkierein tracking #sandydc on @nbcwashington http://t.co/bwDHqsXT,0,0.0,29.0,10
152,Going up to the roof with Forrest Gump. #Sandy http://t.co/D4J21Xft,0,0.0,29.0,10
153,#ligas #sandy anyone know any stations that still have gas. Lots of people still searching,0,0.0,1.0,11
156,#sandy watch continues  @ Warehouse 11 http://t.co/7g7oV9iQ,0,0.0,29.0,10
157,#sandy  @ Sugar Hill / Harlem http://t.co/zyH6oM2t,0,0.0,30.0,10
158,Hiding from the rain w/ @sarahcrutcher (@ Hurricane Alley) http://t.co/LgcocV2Z,0,0.0,12.0,8
159,Sitting at the Highlands waterfront. #Frankenstorm winds are making my car shake.,0,0.0,29.0,10
160,Calm before another storm #blizzardNoreasrern2012 http://t.co/WYw9TGor,0,1.0,5.0,11
161,After the storm @ West Harlem Piers Park http://t.co/chgfTtDX,0,0.0,30.0,10
162,I have a feeling all sandy's going to be is all hype,0,0.0,26.0,10
169,@Chrismaurer10 that's because sandy picked up a few power transformers,0,-1.0,30.0,10
170,The underside of my next door neighbor's deck! #deck #sandy #frankenstorm #noreaster #s @ The Bruno Compound http://t.co/14MhS3vq,0,0.0,30.0,10
171,And the office is officially closed #thatsafirst #frankenstorm #sandy,0,-1.0,29.0,10
174,Starting to get windy here in NYC! #Sandy,0,0.0,28.0,10
178,RT @BBCBreaking: Crane hanging precariously beside skyscraper in New York City as Hurricane #Sandy approaches - PICTURE http://t.co/4VFB8IYv,0,1.0,29.0,10
185,@BigJoeBastardi hey wasn't their a winter storm a few February's ago that retrograded into the central jersey coast ? Kinda similiar to Sand,0,-1.0,21.0,11
189,Bridge to darkness #nyc #sandy @ Waterfront Promenade http://t.co/xLznAsbW,0,0.0,31.0,10
193,"Hello, #snow storm. @ Baryshnikov Arts Center http://t.co/R8002jCm",0,-1.0,7.0,11
194,".@NYSEandG prez Mark S. Lynch claims #Sandy's aftermath more severe than Irene, delaying both assessment &amp; restoration processes. #Putnam",0,1.0,30.0,10
197,Muaaahahaha ���@HoeyJays: Get ready #PDX - Hurricane @sarakleiman makes landfall in one day.�۝,0,1.0,18.0,9
198,"Sandy, Part 2 :The Wreckoning (@ Bogota Latin Bistro w/ 5 others) [pic]: http://t.co/MeEIPNhU",0,0.0,1.0,11
202,We are refugees from Manhattan on Long Island City! #sandy,0,-1.0,30.0,10
203,"@nymediacares #hurricanesandy #reliefeffort #statenisland  #volunteer  @ Staten Island, NY http://t.co/1U50jrhF",0,0.0,30.0,11
204,"@nymediacares #hurricanesandy #reliefeffort #statenisland  #volunteer  @ Staten Island, NY http://t.co/uJh1G5Fo",0,0.0,30.0,11
205,Listening to the good ol quiet storm...gotta love 96.3 at night,0,1.0,2.0,11
206,Sandy wildin ugh,0,0.0,29.0,10
209,Sandys rippin,0,0.0,29.0,10
210,West New York NJ Sat Aug 11th PM Forecast: TONIGHT Chance Of T-Storm Lo 71 SUNDAY Chance Of T-Storm Hi 89,0,1.0,11.0,8
211,West New York NJ Sun Jul 29th AM Forecast: TODAY Chance Of T-Storm Hi 80 TONIGHT Chance Of T-Storm Lo 69,0,1.0,29.0,7
212,Just passed a fleet of Asplundt trucks headed into the storm... As are we!!! @ Pennsylvania turnpike http://t.co/3RNVnAXx,0,0.0,29.0,10
214,Lunch for the skeleton crew at the #Episcopal Church Center #nyc #sandy @ The Episcopal Church Center http://t.co/BogOb2R2,0,-1.0,31.0,10
215,Hurricanes= catching up on #Awkward @Beau_Mirchoff @BDavv @ashleyfans92 @JillianRoseReed @HiJessicaLu @mollytarlov,0,0.0,28.0,10
220,Staten Island NY Sat Jul 28th AM Forecast: TODAY Chance Of T-Storm Hi 85 TONIGHT Chance Of T-Storm Lo 70,0,0.0,28.0,7
221,Damn RT���@acarvin: Did u take that pic? RT @RajaAlthaibani: Lower East side of Manhattan now: http://t.co/vw5MYTxG  #HurricaneSandy�۝,0,0.0,30.0,10
222,"#Sandy.  There is a big mass of thunderstorms heading NE towards #GreenfieldMA.  If we are going to get hit, that is the likely fist.",0,0.0,30.0,10
223,"#nowplaying Brooklyn, Brooklyn Take Me In (I and Love and You) : Avett Brothers cc: @lindsaykordik #sandy #NYC #evacuees",0,1.0,2.0,11
226,Heavy rain all day and now wind really picking. Landfall now about hour or so in Wildwood Nj about 70 miles from here #HurricaneSandy,0,0.0,29.0,10
227,Here in Collegeville just a light breeze and rain #SandyPA,0,1.0,29.0,10
228,Spuyten Duyvil NY Fri Aug 10th PM Forecast: TONIGHT Chance Of T-Storm Lo 71 SATURDAY Showers Likely Hi 85,0,0.0,10.0,8
229,Spuyten Duyvil NY Wed Jul 18th AM Forecast: TODAY Chance Of T-Storm Hi 95 TONIGHT Chance Of T-Storm Lo 75,0,0.0,18.0,7
231,Feeling like college Dan...shooting a show for BKVegan with my backup gear b/c all my cameras are locked in my midtown office #Sandy #D300,0,0.0,2.0,11
233,"Bc the DJ needs time,the mix 2 our Sandysea-relief is aimed at December 8,how is that 4 u #vocalists? Add ur vocals: iselinmusic@gmail.com:)",0,0.0,2.0,12
235,#sandy  @ Sea Bright Beach http://t.co/ljPgblAw,0,1.0,2.0,12
236,@LansReporter tree down on Hancock just south of church in #lansdale police on scene #Sandy,0,-1.0,29.0,10
240,After #sandy treat. #diner #icecream @ brooklyn http://t.co/1ViAGbCV,0,0.0,30.0,10
242,Working from home today because of #Sandy ? Do it right &amp; be effective http://t.co/33GQZo6p,0,1.0,29.0,10
243,Hurricane isaac in new orleans  ish!!,0,1.0,28.0,8
244,I honestly dont think this hurricane thing will do anything,0,1.0,28.0,10
245,@lil_guido2000 Center wind is closer to 100..have already had 70mph gust on east coast... It will be #Hurricane when it hits NJ in less 4hr,0,-1.0,29.0,10
246,Now that that's over where's this hurricane,0,0.0,28.0,10
247,Calm before the storm  #photoaday #hurricane  @ best buy oxford valley http://t.co/DPauZRyI,0,1.0,27.0,10
248,"Internet is out for the second time today for me here in Suffolk County. Still have electricity, though. #Sandy",0,0.0,29.0,10
250,Packanack Lake NJ Sat Jul 14th PM Forecast: TONIGHT Chance Of T-Storm Lo 71 SUNDAY Chance Of T-Storm Hi 89,0,0.0,14.0,7
251,Packanack Lake NJ Tue Jul 10th AM Forecast: TODAY Chance Of T-Storm Hi 89 TONIGHT Chance Of T-Storm Lo 65,0,0.0,10.0,7
252,@wmconstantine Storm of the Century,0,0.0,30.0,10
253,The Statue of Liberty as seen from near Battery Park. #sandy #hurricanesandy  @ Battery Park City http://t.co/0MZy2IXX,0,1.0,29.0,10
254,Morning after #marthasvineyard #sandy #nofilter  @ Beach On Lagoon Pond http://t.co/RcS1RhKO,0,0.0,30.0,10
256,Family Dollar Linden already feeling Hurricane Sandys power an it's still miles off the coast! http://t.co/JPaZ2VG6,0,0.0,29.0,10
263,": Storm surge between 4 and 8 feet is possible, National Weather Service says. http://t.co/RYKFuZsG",0,0.0,28.0,10
264,SEVERE THUNDERSTORM WARNING FOR... SOUTHEASTERN CARROLL COUNTY IN EAST CENTRAL OHIO... NORTHEASTERN HARRISON COUNTY... http://t.co/OwMYXEvc,0,0.0,26.0,7
267,#PakistaniHurricaneNames HURRICANE NARGIS,0,0.0,29.0,10
269,@tideloadsofhope #newjersery #laundry #sandy @ Lowe's Home Improvement http://t.co/B9Xt959Q,0,0.0,4.0,11
274,"Just a hunch, but something tells me this might have something to do with #NJ being one big pile of storm debris: http://t.co/x70dt29e",0,0.0,6.0,11
277,Sandy goes hard,0,-1.0,30.0,10
278,"#Sandy they should impose 10 gallon minimum on gas, it would move the lines faster and be less confusing than even odd plates.",0,-1.0,5.0,11
284,#TWC journalist just said she has seen one model showing 40 feet of snow ... I'm assuming she meant inches. #Sandy #oppsy #pawx,0,0.0,28.0,10
285,My current view of pre- #sandy. Wish I had video of the man attempting to use an umbrella - exercise in futility. http://t.co/dPMxxLDv,0,0.0,29.0,10
289,"[WATCH] Upd Msg #6, Tropical Storm - Miriam, E Pacific Ocean, Winds 45 kt, Gusts 55 kt, reported by NWS. http://t.co/YeLF5Zo7 #fb",0,0.0,23.0,9
291,"WINTER STORM WARNING 5-9"" OF SNOW WITH UP TO 12"" IN THE HIGHEST ELEVATIONS. THE DEEPER VALLEYS AREAS WILL SEE 3 TO 5"" http://t.co/TsjGdHoE",0,0.0,29.0,10
292,New gas announcement. #nogas #needgas #instagram #njgas #igers #sandy  @ New Jersey http://t.co/K1GS5FBr,0,1.0,3.0,11
293,Sandy prep (@ Rowayton Fire Department) http://t.co/I5uWbybb,0,0.0,29.0,10
296,Yoga pants more like hurricane sandy pants #neverchanging,0,1.0,29.0,10
297,Roving out this evening.. lot busier on the streets. No power below 32st from where I could see #Sandy http://t.co/3GUDGHVB,0,0.0,30.0,10
299,Hurricane prep#2: stock up on Israeli wine and whiskey (@ Skyview Wines and Spirits) http://t.co/HlAtOZ6m,0,0.0,27.0,10
300,Rainstorm sounds on the roof of a gothic church #rainysunday #nyc   @ Fifth Avenue Presbyterian Church http://t.co/MS1evO9U,0,0.0,8.0,10
307,Mittens is collecting items for the storm victims in Ohio that the Red Cross doesn't need! He didn't mention how he thought FEMA was doing?,0,0.0,30.0,10
308,Deserted. #hurricane  @ Frankenstorm Apocalypse - Hurricane Sandy http://t.co/p8v2w2bk,0,0.0,29.0,10
310,"I'm at Hurricane Sandy (Valley Stream, NY) w/ 15 others http://t.co/C2RMeXK9",0,0.0,29.0,10
311,Going to play football with my boys #sandy,0,0.0,30.0,10
312,"Severe Thunderstorm Warning issued for Linden Hill, NY http://t.co/mJHMeLw2",0,0.0,8.0,9
314,"Remember when NYC flooded last year? RT @MarketWatch: NYC may evacuate 375,000 ahead of Hurricane Sandy http://t.co/GGCe4Aya",0,0.0,27.0,10
315,@BobVanDillen all about ratings.   Read article down 18.5% YOY before Sandy.,0,-1.0,7.0,11
319,...HIGH WIND EXPECTED FOR MONDAY AND TUESDAY... .POST TROPICAL STORM SANDY WILL INTERACT WITH A COLD UPPER LOW AND... http://t.co/7Lp0a3do,0,-1.0,29.0,10
320,Stuart Weitzman has their entire front window boarded up from top to bottom #SaveTheShoes #frankenstorm,0,1.0,28.0,10
325,"I'm at Frankenstorm Apocalypse Warning (Scarsdale, NY) http://t.co/y3HQ63UA",0,0.0,28.0,10
328,Wow... #HurricaneSandy http://t.co/WWYzuR2z,0,1.0,29.0,10
329,Volunteers clearing debris from Community Ctr in Hoboken #Sandy http://t.co/hhVGhbS3,0,0.0,9.0,11
330,Watching the storm roll in. (@ Northern Indian Restaurant w/ 2 others) [pic]: http://t.co/pOBLTsYY,0,0.0,15.0,8
331,Morning after #hurricanesandy. Crane still there. http://t.co/00tCB8R2,0,0.0,30.0,10
334,West Chester PA Fri Jul 13th PM Forecast: TONIGHT Scattered Showers Lo 69 SATURDAY Chance Of T-Storm Hi 85,0,0.0,13.0,7
336,I plan on sleeping through this storm. Wake me up when it's over.,0,0.0,29.0,10
338,"Sounds like sirens going up Military Road in Chevy Chase, DC. #SANDYDC",0,-1.0,28.0,10
341,"Drying out 86-year-old newspaper in the Rockaways post #sandy @ Roxbury, NY http://t.co/nconLad1",0,1.0,17.0,11
342,I hope @dothat327 &amp; @majormagic stocked up for the storm #sandy @ The Fresh Grocer http://t.co/nAM0YOf2,0,1.0,28.0,10
343,Packed house post-Sandy. (@ Life Time Fitness w/ 3 others) http://t.co/10NzCojg,0,0.0,30.0,10
345,My brother and dad #aftermath #sandy #springlake @ Spring Lake Boardwalk http://t.co/ZlUUdVx3,0,0.0,20.0,11
353,"Min v�_nn Rob jobbar p̴ en sk Liquor Store, dom s̴lde f̦r $20000 (!) ikv�_ll. Staten cashar in skatt p̴ skr�_mselpropagandan. #Sandy",0,0.0,29.0,10
355,Governor Christie takes off via helicopter from #hoboken Pier A. #hurricanesandy  @ Pier A Park http://t.co/tr9DOTyY,0,0.0,4.0,11
356,"Jenna Bush visits #Hoboken at 11th Street after #hurricanesandy #hobokensandy #njsandy #newjer @ Hoboken, NJ http://t.co/QrhMpy8t",0,0.0,31.0,10
357,���@NewYorkPost: Hurricane-relief Guardsmen tossed out of armory - for Victoria's Secret show   http://t.co/6w4E7V3b�۝ outrageous,0,-1.0,5.0,11
359,http://t.co/yoLUpD6w #sandyNantucket,0,0.0,30.0,10
362,@ErinAndrews oops forgot the photohttp://twitter.com/SandysHurricane/status/262995346060345344/photo/1,0,0.0,29.0,10
364,Ellis Island NJ Fri Sep 7th PM Forecast: TONIGHT Patchy Fog Lo 71 SATURDAY Chance Of T-Storm Hi 85,0,0.0,7.0,9
368,Update on storm damage to flood-control dikes in #NewCastleDE #SandyDE (@ New Castle City Council Meeting) http://t.co/hA9eKIWR,0,1.0,4.0,12
371,���@mashsocialmedia: New Yorkers Capture Spectacular Photos of Storm - http://t.co/4Xt5uj54�۝ The storm that just went through the city,0,1.0,18.0,7
372,"Between my run and long city walk today, I probably covered between 8 and 10 miles. It was much needed. #cabinfever #dayaftersandy",0,1.0,30.0,10
373,Helping the economy in the LES #postsandy #joinus  @ Hair of the Dog Bar &amp; Grille http://t.co/pKoXMJgq,0,0.0,3.0,11
375,Glen Burnie MD Mon Aug 27th PM Forecast: TONIGHT Chance Of Showers Lo 71 TUESDAY Chance Of T-Storm Hi 89,0,0.0,27.0,8
376,Glen Burnie MD Mon Aug 13th PM Forecast: TONIGHT Partly Cloudy Lo 71 TUESDAY Chance Of T-Storm Hi 85,0,0.0,13.0,8
377,Shelly is shook #sandy #drawing #face #shookone @ Strong Island Gearon http://t.co/2CvtYJ1o,0,1.0,29.0,10
378,"I'm at Frankenstorm Apocalypse - Hurricane Sandy (New York, NY) w/ 2781 others http://t.co/RwXNkNqQ",0,1.0,29.0,10
381,Crazy busy and they are out of water.  #hurricanesandy (@ Bottom Dollar Food) http://t.co/DvTyR0gA,0,-1.0,27.0,10
382,���@billy_burke: Had 2 postpone @todayshow cuza #Sandy. Boo was looking forward 2 c'ing u,0,0.0,29.0,10
383,@InesMohwinckel Back in NYC. Rode back w A&amp;J on LIRR. Wondering what/when/where more help will be needed. @RedCrossNY #Sandy,0,1.0,2.0,11
388,Severe Thunderstorm Warning issued July 28 at 4:10PM EDT until July 28 at 5:15PM EDT by NWS http://t.co/j0KHcyVT #CecilCounty,0,0.0,28.0,7
395,RT @TelemundoNews: #NYC cerrar�� t̼neles Holland y Brooklyn-Battery comenzando a las 2pm. Posible inundaci�_n por lluvias de #Sandy.,0,0.0,29.0,10
397,"I'm at Frankenstormpocalypse 2012 (Washington, DC) w/ 694 others http://t.co/pgXEC465",0,0.0,29.0,10
398,View of Manhattan from Astoria Park on the East River. #frankenstorm #astoria #queens #manhat @ Astoria Park http://t.co/HBfDhE5Z,0,0.0,30.0,10
399,"NYC weather update:  Last week: Hurricane Yesterday: Blizzard Next Week: Locusts, Frogs and Darkness",0,0.0,8.0,11
400,Block after block looks the same... #sandy #aftermath #tree #wires @ Bellrose Park http://t.co/nHz9zj0c,0,0.0,31.0,10
402,"I should clarify my previous tweet, there is mass havoc in Wegs including a complete run on H2O. #HurricaneSandy http://t.co/szu7lQ4g",0,-1.0,28.0,10
404,I'm at Sandy Aftermathpocalypse 2012 w/ @anacoron @metalgerm http://t.co/TqysKxnS,0,0.0,31.0,10
409,@noraguerraa  yes! They closed it after the storm and were taking so long to re open it,0,-1.0,15.0,11
410,Canarsie took a major hit. #Sandy #nopower @ Canarsie Brooklyn http://t.co/weE2veIn,0,1.0,30.0,10
415,@PrestonSteve933 help with our charity Firefighter Football game? Proceeds benefit #sandy &amp; distracted driving. Live coverage of game too?,0,-1.0,7.0,11
417,#architecture #deco #postsandy #sandy #hurricanesandy #njshore  @ North End Pavilion http://t.co/PfXASU4o,0,0.0,24.0,11
418,Almost can't see ground zero... #hurricanesandy @ Sheraton Lincoln Harbor Hotel http://t.co/A4zi7wj0,0,0.0,29.0,10
421,#frankenstorm #hurricanesandy #powerlines #tree #crazyness  @ Casa DeSoto http://t.co/AQ8yQSRF,0,0.0,30.0,10
422,Old Town Alexandria today: near city dock. Local stations covering Hurricane Sandy. #AlexandriaVa http://t.co/jyW3L5Mg,0,1.0,29.0,10
423,Damnnn Julie getting it bad they all stormed her Lmaooo,0,-1.0,30.0,10
425,. @DVGBC Story Team brainstorming how to tell #greenschools stories in our region. @earthforce http://t.co/EpcYGOHc,0,0.0,19.0,10
426,Post your hurricane pics! @ 7th Gear http://t.co/kbeRBU5D,0,0.0,31.0,10
427,"Uh oh...RT@TMFBreaking: Superstorm Sandy cost Delta $25 million in Nov profit, following $20 million hit in October.  http://t.co/UnIdhPVX",0,0.0,4.0,12
430,LESS than 30 days left to apply for aid! http://t.co/I3FcFXtq  #helpsi #sandyaid #sivolunteer #sirecovers #sandyvolunteer  #sandy,0,-1.0,3.0,12
431,Water/hands/food/cleaning supplies needed Father Capp &amp; Slater #sirecovers #sihelp #sivolunteer #sandyvolunteer #helpsi #rebuildsi,0,0.0,17.0,11
433,Encerrada en casa :( thanks #Sandy ):,0,1.0,29.0,10
436,Sandy made landfall in souther nj. #SuperstormSandy,0,0.0,30.0,10
439,"So I'm staring at this squash, waiting for the wind to tear it down! #sandy #bored http://t.co/jIuxj6aw",0,-1.0,29.0,10
441,#hurricanesandy  sea isle city is flooded @ Sea Isle City http://t.co/jJ1CcUCJ,0,0.0,29.0,10
444,South Richmond Hill NY Sun Sep 2nd PM Forecast: TONIGHT Partly Cloudy Lo 69 LABOR DAY Chance Of T-Storm Hi 79,0,0.0,2.0,9
445,#nyc #Bridge #Hurricane # sky #Weather @ The Rockefeller University http://t.co/82unv9Rn,0,0.0,31.0,10
449,@Skyline_Chili preparing for hurricane #sandy...gotta get the microwave some use before all the power goes out!! #DC http://t.co/wJIp7xdr,0,0.0,28.0,10
451,My older brother had to evacuate manhattan #sandy,0,1.0,28.0,10
454,Quiet storm   @ Best Western Orlando West http://t.co/yqCjqkGB,0,1.0,7.0,9
457,Broadway is shut down #Sandy  @ Times Square http://t.co/eJWGG9gT,0,-1.0,29.0,10
459,Dressing business casual for the high speed winds outside. #frankenstorm  @ Leary Keefe Thunderdome http://t.co/YEJJdXnA,0,-1.0,29.0,10
460,WOAH! ���RT .@MotherJones: NEW (WETTER) #Sandy time-lapse of Manhattan from .@ClimateDesk: http://t.co/eDS1L3JR�۝,0,1.0,30.0,10
466,Still hanging above midtown.. #SandyNY http://t.co/DmqOI3Zv,0,0.0,2.0,11
467,"Heading towards the eye of the storm, do I get a Merritt badge for being a storm chaser? http://t.co/Ez9zeCqy",0,0.0,19.0,7
469,West Licking board dismisses fire chief http://t.co/LTQqrTXZ Most read by neighbors in #SandyCorners #Dublin,0,1.0,18.0,11
